year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank
1984,NEW YORK,NY,36,21,13,US PRESIDENT,"MONDALE, WALTER",LIBERAL PARTY,False,118324,6806810,20210113,,OTHER,4.0
1984,NEW YORK,NY,36,21,13,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,11949,6806810,20210113,,LIBERTARIAN,5.0
1984,NEW YORK,NY,36,21,13,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,4226,6806810,20210113,,OTHER,6.0
1984,NEW YORK,NY,36,21,13,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,3200,6806810,20210113,,OTHER,7.0
1984,NEW YORK,NY,36,21,13,US PRESIDENT,"HOLMES, LARRY",WORKERS WORLD,False,2226,6806810,20210113,,OTHER,8.0
1984,NEW YORK,NY,36,21,13,US PRESIDENT,OTHER,,False,837,6806810,20210113,,OTHER,9.0
1984,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1346481,2175361,20210113,,REPUBLICAN,1.0
1984,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,824287,2175361,20210113,,DEMOCRAT,2.0
1984,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,3794,2175361,20210113,,LIBERTARIAN,3.0
1984,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,799,2175361,20210113,,OTHER,4.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,200336,308971,20210113,,REPUBLICAN,1.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,104429,308971,20210113,,DEMOCRAT,2.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,1278,308971,20210113,,OTHER,3.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"RICHARDS, BOB",POPULIST,False,1077,308971,20210113,,OTHER,4.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,703,308971,20210113,,LIBERTARIAN,5.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,368,308971,20210113,,OTHER,6.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,239,308971,20210113,,OTHER,7.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"DODGE, EARL",PROHIBITION,False,220,308971,20210113,,OTHER,8.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,169,308971,20210113,,OTHER,9.0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,152,308971,20210113,,OTHER,10.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2678559,4563235,20210113,,REPUBLICAN,1.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,1825440,4563235,20210113,,DEMOCRAT,2.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,24180,4563235,20210113,,OTHER,3.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,10693,4563235,20210113,,OTHER,4.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"WINN, EDWARD",WORKERS LEAGUE,False,7130,4563235,20210113,,OTHER,5.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,5886,4563235,20210113,,LIBERTARIAN,6.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,4438,4563235,20210113,,OTHER,7.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,4344,4563235,20210113,,OTHER,8.0
1984,OHIO,OH,39,31,24,US PRESIDENT,"HOLMES, LARRY",WORKERS WORLD,False,2565,4563235,20210113,,OTHER,9.0
1984,OKLAHOMA,OK,40,73,53,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,861530,1255676,20210113,,REPUBLICAN,1.0
1984,OKLAHOMA,OK,40,73,53,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,385080,1255676,20210113,,DEMOCRAT,2.0
1984,OKLAHOMA,OK,40,73,53,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,9066,1255676,20210113,,LIBERTARIAN,3.0
1984,OREGON,OR,41,92,72,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,685700,1226527,20210113,,REPUBLICAN,1.0
1984,OREGON,OR,41,92,72,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,536479,1226527,20210113,,DEMOCRAT,2.0
1984,OREGON,OR,41,92,72,US PRESIDENT,OTHER,,False,4348,1226527,20210113,,OTHER,3.0
1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2584323,4844903,20210113,,REPUBLICAN,1.0
1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,2228131,4844903,20210113,,DEMOCRAT,2.0
1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,21628,4844903,20210113,,OTHER,3.0
1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,6982,4844903,20210113,,LIBERTARIAN,4.0
1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"WINN, EDWARD",WORKERS LEAGUE,False,2059,4844903,20210113,,OTHER,5.0
1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,1780,4844903,20210113,,OTHER,6.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,212080,410489,20210113,,REPUBLICAN,1.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,197106,410489,20210113,,DEMOCRAT,2.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"RICHARDS, BOB",POPULIST,False,510,410489,20210113,,OTHER,3.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,277,410489,20210113,,LIBERTARIAN,4.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,240,410489,20210113,,OTHER,5.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"HOLMES, LARRY",WORKERS WORLD,False,91,410489,20210113,,OTHER,6.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,75,410489,20210113,,OTHER,7.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,61,410489,20210113,,OTHER,8.0
1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,49,410489,20210113,,OTHER,9.0
1984,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,615539,968529,20210113,,REPUBLICAN,1.0
1984,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,344459,968529,20210113,,DEMOCRAT,2.0
1984,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,4359,968529,20210113,,LIBERTARIAN,3.0
1984,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"DENNIS, DELMAR",AMERICAN,False,3490,968529,20210113,,OTHER,4.0
1984,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,682,968529,20210113,,OTHER,5.0
1984,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,200267,317867,20210113,,REPUBLICAN,1.0
1984,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,116113,317867,20210113,,DEMOCRAT,2.0
1984,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,1150,317867,20210113,,OTHER,3.0
1984,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,337,317867,20210113,,OTHER,4.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,990212,1711993,20210113,,REPUBLICAN,1.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,711714,1711993,20210113,,DEMOCRAT,2.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,3072,1711993,20210113,,LIBERTARIAN,3.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,1852,1711993,20210113,,OTHER,4.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"RICHARDS, BOB",POPULIST,False,1763,1711993,20210113,,OTHER,5.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,1036,1711993,20210113,,OTHER,6.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,978,1711993,20210113,,OTHER,7.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,715,1711993,20210113,,OTHER,8.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,524,1711993,20210113,,OTHER,9.0
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,OTHER,,False,127,1711993,20210113,,OTHER,10.0
1984,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,3433428,5397571,20210113,,REPUBLICAN,1.0
1984,TEXAS,TX,48,74,49,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,1949276,5397571,20210113,,DEMOCRAT,2.0
1984,TEXAS,TX,48,74,49,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,14613,5397571,20210113,,OTHER,3.0
1984,TEXAS,TX,48,74,49,US PRESIDENT,OTHER,,False,254,5397571,20210113,,OTHER,4.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,469105,629656,20210113,,REPUBLICAN,1.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,155369,629656,20210113,,DEMOCRAT,2.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,2447,629656,20210113,,LIBERTARIAN,3.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"DENNIS, DELMAR",AMERICAN,False,1345,629656,20210113,,OTHER,4.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,844,629656,20210113,,OTHER,5.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,220,629656,20210113,,OTHER,6.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,184,629656,20210113,,OTHER,7.0
1984,UTAH,UT,49,87,67,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,142,629656,20210113,,OTHER,8.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,135865,234561,20210113,,REPUBLICAN,1.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,95730,234561,20210113,,DEMOCRAT,2.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,1002,234561,20210113,,LIBERTARIAN,3.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,OTHER,,False,712,234561,20210113,,OTHER,4.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,423,234561,20210113,,OTHER,5.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,323,234561,20210113,,OTHER,6.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,264,234561,20210113,,OTHER,7.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,127,234561,20210113,,OTHER,8.0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,115,234561,20210113,,OTHER,9.0
1984,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1337078,2146635,20210113,,REPUBLICAN,1.0
1984,VIRGINIA,VA,51,54,40,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,796250,2146635,20210113,,DEMOCRAT,2.0
1984,VIRGINIA,VA,51,54,40,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,13307,2146635,20210113,,OTHER,3.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1051670,1874910,20210113,,REPUBLICAN,1.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,798352,1874910,20210113,,DEMOCRAT,2.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,8844,1874910,20210113,,LIBERTARIAN,3.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"RICHARDS, BOB",POPULIST,False,5724,1874910,20210113,,OTHER,4.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,4712,1874910,20210113,,OTHER,5.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,1891,1874910,20210113,,OTHER,6.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,1654,1874910,20210113,,OTHER,7.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,814,1874910,20210113,,OTHER,8.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"HOLMES, LARRY",WORKERS WORLD,False,641,1874910,20210113,,OTHER,9.0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,608,1874910,20210113,,OTHER,10.0
1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,405483,735742,20210113,,REPUBLICAN,1.0
1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,328125,735742,20210113,,DEMOCRAT,2.0
1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"RICHARDS, BOB",POPULIST,False,996,735742,20210113,,OTHER,3.0
1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,645,735742,20210113,,OTHER,4.0
1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,493,735742,20210113,,OTHER,5.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1198584,2211689,20210113,,REPUBLICAN,1.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,995740,2211689,20210113,,DEMOCRAT,2.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,4883,2211689,20210113,,LIBERTARIAN,3.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"RICHARDS, BOB",POPULIST,False,3864,2211689,20210113,,OTHER,4.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,3791,2211689,20210113,,OTHER,5.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,False,1456,2211689,20210113,,OTHER,6.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,False,1006,2211689,20210113,,OTHER,7.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,OTHER,,False,706,2211689,20210113,,OTHER,8.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"HOLMES, LARRY",WORKERS WORLD,False,619,2211689,20210113,,OTHER,9.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,596,2211689,20210113,,OTHER,10.0
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,False,444,2211689,20210113,,OTHER,11.0
1984,WYOMING,WY,56,83,68,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,133241,188968,20210113,,REPUBLICAN,1.0
1984,WYOMING,WY,56,83,68,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,53370,188968,20210113,,DEMOCRAT,2.0
1984,WYOMING,WY,56,83,68,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,False,2357,188968,20210113,,LIBERTARIAN,3.0
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,815576,1378476,20210113,,REPUBLICAN,1.0
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,549506,1378476,20210113,,DEMOCRAT,2.0
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,8460,1378476,20210113,,LIBERTARIAN,3.0
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"WINN, EDWARD",INDEPENDENT,False,4428,1378476,20210113,,OTHER,4.0
1988,ALABAMA,AL,1,63,41,US PRESIDENT,,,True,506,1378476,20210113,,OTHER,5.0
1988,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,119251,200116,20210113,,REPUBLICAN,1.0
1988,ALASKA,AK,2,94,81,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,72584,200116,20210113,,DEMOCRAT,2.0
1988,ALASKA,AK,2,94,81,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,5484,200116,20210113,,LIBERTARIAN,3.0
1988,ALASKA,AK,2,94,81,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,1024,200116,20210113,,OTHER,4.0
1988,ALASKA,AK,2,94,81,US PRESIDENT,,,True,957,200116,20210113,,OTHER,5.0
1988,ALASKA,AK,2,94,81,US PRESIDENT,"LAROUCHE, LYNDON, JR.",NATIONAL ECONOMIC RECOVERY,False,816,200116,20210113,,OTHER,6.0
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,702541,1171873,20210113,,REPUBLICAN,1.0
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,454029,1171873,20210113,,DEMOCRAT,2.0
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,13351,1171873,20210113,,LIBERTARIAN,3.0
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,1662,1171873,20210113,,OTHER,4.0
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,,,True,290,1171873,20210113,,OTHER,5.0
1988,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,466578,827738,20210113,,REPUBLICAN,1.0
1988,ARKANSAS,AR,5,71,42,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,349237,827738,20210113,,DEMOCRAT,2.0
1988,ARKANSAS,AR,5,71,42,US PRESIDENT,"DODGE, EARL",POPULIST,False,5146,827738,20210113,,OTHER,3.0
1988,ARKANSAS,AR,5,71,42,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,3297,827738,20210113,,LIBERTARIAN,4.0
1988,ARKANSAS,AR,5,71,42,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,2161,827738,20210113,,OTHER,5.0
1988,ARKANSAS,AR,5,71,42,US PRESIDENT,"DODGE, EARL",PROHIBITION,False,1319,827738,20210113,,OTHER,6.0
1988,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,5054917,9887065,20210113,,REPUBLICAN,1.0
1988,CALIFORNIA,CA,6,93,71,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,4702233,9887065,20210113,,DEMOCRAT,2.0
1988,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,70105,9887065,20210113,,LIBERTARIAN,3.0
1988,CALIFORNIA,CA,6,93,71,US PRESIDENT,"FULANI, LENORA",INDEPENDENT,False,58999,9887065,20210113,,OTHER,4.0
1988,CALIFORNIA,CA,6,93,71,US PRESIDENT,,,True,811,9887065,20210113,,OTHER,5.0
1988,COLORADO,CO,8,84,62,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,728177,1372394,20210113,,REPUBLICAN,1.0
1988,COLORADO,CO,8,84,62,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,621453,1372394,20210113,,DEMOCRAT,2.0
1988,COLORADO,CO,8,84,62,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,15482,1372394,20210113,,LIBERTARIAN,3.0
1988,COLORADO,CO,8,84,62,US PRESIDENT,"DODGE, EARL",PROHIBITION,False,4604,1372394,20210113,,OTHER,4.0
1988,COLORADO,CO,8,84,62,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,2539,1372394,20210113,,OTHER,5.0
1988,COLORADO,CO,8,84,62,US PRESIDENT,,,True,139,1372394,20210113,,OTHER,6.0
1988,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,750241,1443394,20210113,,REPUBLICAN,1.0
1988,CONNECTICUT,CT,9,16,1,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,676584,1443394,20210113,,DEMOCRAT,2.0
1988,CONNECTICUT,CT,9,16,1,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,14071,1443394,20210113,,LIBERTARIAN,3.0
1988,CONNECTICUT,CT,9,16,1,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,2491,1443394,20210113,,OTHER,4.0
1988,CONNECTICUT,CT,9,16,1,US PRESIDENT,,,True,7,1443394,20210113,,OTHER,5.0
1988,DELAWARE,DE,10,51,11,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,139639,249891,20210113,,REPUBLICAN,1.0
1988,DELAWARE,DE,10,51,11,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,108647,249891,20210113,,DEMOCRAT,2.0
1988,DELAWARE,DE,10,51,11,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,1162,249891,20210113,,LIBERTARIAN,3.0
1988,DELAWARE,DE,10,51,11,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,443,249891,20210113,,OTHER,4.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,159407,192877,20210113,,DEMOCRAT,1.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,27590,192877,20210113,,REPUBLICAN,2.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,INDEPENDENT,False,3064,192877,20210113,,OTHER,3.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,True,1553,192877,20210113,,OTHER,4.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,554,192877,20210113,,LIBERTARIAN,5.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,THIRD WORLD ASSEMBLY,False,236,192877,20210113,,OTHER,6.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"WINN, EDWARD",WORKERS LEAGUE,False,208,192877,20210113,,OTHER,7.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"KENOYER, WILLA",SOCIALIST,False,142,192877,20210113,,OTHER,8.0
1988,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"WARREN, JAMES """"MAC""""",SOCIALIST WORKERS,False,123,192877,20210113,,OTHER,9.0
1988,FLORIDA,FL,12,59,43,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,2618885,4302313,20210113,,REPUBLICAN,1.0
1988,FLORIDA,FL,12,59,43,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,1656701,4302313,20210113,,DEMOCRAT,2.0
1988,FLORIDA,FL,12,59,43,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,19796,4302313,20210113,,LIBERTARIAN,3.0
1988,FLORIDA,FL,12,59,43,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,6655,4302313,20210113,,OTHER,4.0
1988,FLORIDA,FL,12,59,43,US PRESIDENT,,,True,276,4302313,20210113,,OTHER,5.0
1988,GEORGIA,GA,13,58,44,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1081331,1809672,20210113,,REPUBLICAN,1.0
1988,GEORGIA,GA,13,58,44,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,714792,1809672,20210113,,DEMOCRAT,2.0
1988,GEORGIA,GA,13,58,44,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,False,8435,1809672,20210113,,LIBERTARIAN,3.0
1988,GEORGIA,GA,13,58,44,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,False,5099,1809672,20210113,,OTHER,4.0
1988,GEORGIA,GA,13,58,44,US PRESIDENT,,,True,15,1809672,20210113,,OTHER,5.0
1988,HAWAII,HI,15,95,82,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,192364,354461,20210113,,DEMOCRAT,1.0
1988,HAWAII,HI,15,95,82,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,158625,354461,20210113,,REPUBLICAN,2.0
