year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank
1976,CONNECTICUT,CT,9,16,1,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,1789,1386355,20210113,,OTHER,5.0
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,122461,235642,20210113,,DEMOCRAT,1.0
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,109780,235642,20210113,,REPUBLICAN,2.0
1976,DELAWARE,DE,10,51,11,US PRESIDENT,,NO PARTY AFFILIATION,False,2432,235642,20210113,,OTHER,3.0
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,645,235642,20210113,,OTHER,4.0
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,135,235642,20210113,,OTHER,5.0
1976,DELAWARE,DE,10,51,11,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,103,235642,20210113,,OTHER,6.0
1976,DELAWARE,DE,10,51,11,US PRESIDENT,,SOCIALIST LABOR,False,86,235642,20210113,,OTHER,7.0
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,137818,168830,20210113,,DEMOCRAT,1.0
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,27873,168830,20210113,,REPUBLICAN,2.0
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,OTHER,,False,1656,168830,20210113,,OTHER,3.0
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,INDEPENDENT,False,1195,168830,20210113,,OTHER,4.0
1976,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,True,288,168830,20210113,,OTHER,5.0
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1636000,3150631,20210113,,DEMOCRAT,1.0
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1469531,3150631,20210113,,REPUBLICAN,2.0
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,23643,3150631,20210113,,OTHER,3.0
1976,FLORIDA,FL,12,59,43,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,21325,3150631,20210113,,OTHER,4.0
1976,FLORIDA,FL,12,59,43,US PRESIDENT,,,True,132,3150631,20210113,,OTHER,5.0
1976,GEORGIA,GA,13,58,44,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,979409,1463152,20210113,,DEMOCRAT,1.0
1976,GEORGIA,GA,13,58,44,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,483743,1463152,20210113,,REPUBLICAN,2.0
1976,HAWAII,HI,15,95,82,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,147375,291301,20210113,,DEMOCRAT,1.0
1976,HAWAII,HI,15,95,82,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,140003,291301,20210113,,REPUBLICAN,2.0
1976,HAWAII,HI,15,95,82,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,3923,291301,20210113,,LIBERTARIAN,3.0
1976,IDAHO,ID,16,82,63,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,204151,340932,20210113,,REPUBLICAN,1.0
1976,IDAHO,ID,16,82,63,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,126549,340932,20210113,,DEMOCRAT,2.0
1976,IDAHO,ID,16,82,63,US PRESIDENT,"MADDOX, LESTER",AMERICAN,False,5935,340932,20210113,,OTHER,3.0
1976,IDAHO,ID,16,82,63,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,3558,340932,20210113,,LIBERTARIAN,4.0
1976,IDAHO,ID,16,82,63,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,739,340932,20210113,,OTHER,5.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,2364269,4721282,20210113,,REPUBLICAN,1.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2271295,4721282,20210113,,DEMOCRAT,2.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,55939,4721282,20210113,,OTHER,3.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,9250,4721282,20210113,,OTHER,4.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,8057,4721282,20210113,,LIBERTARIAN,5.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,,,True,4417,4721282,20210113,,OTHER,6.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,3615,4721282,20210113,,OTHER,7.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,2422,4721282,20210113,,OTHER,8.0
1976,ILLINOIS,IL,17,33,21,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,2018,4721282,20210113,,OTHER,9.0
1976,INDIANA,IN,18,32,22,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1183958,2220362,20210113,,REPUBLICAN,1.0
1976,INDIANA,IN,18,32,22,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1014714,2220362,20210113,,DEMOCRAT,2.0
1976,INDIANA,IN,18,32,22,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,14048,2220362,20210113,,OTHER,3.0
1976,INDIANA,IN,18,32,22,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,5695,2220362,20210113,,OTHER,4.0
1976,INDIANA,IN,18,32,22,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,1947,2220362,20210113,,OTHER,5.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,632864,1279303,20210113,,REPUBLICAN,1.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,619931,1279303,20210113,,DEMOCRAT,2.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,20057,1279303,20210113,,OTHER,3.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN PARTY OF IOWA,False,3041,1279303,20210113,,OTHER,4.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,1454,1279303,20210113,,LIBERTARIAN,5.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,551,1279303,20210113,,OTHER,6.0
1976,IOWA,IA,19,42,31,US PRESIDENT,SCATTERING,,False,509,1279303,20210113,,OTHER,7.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,262,1279303,20210113,,OTHER,8.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,241,1279303,20210113,,OTHER,9.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST U.S.A.,False,233,1279303,20210113,,OTHER,10.0
1976,IOWA,IA,19,42,31,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,160,1279303,20210113,,OTHER,11.0
1976,KANSAS,KS,20,47,32,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,502752,957845,20210113,,REPUBLICAN,1.0
1976,KANSAS,KS,20,47,32,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,430421,957845,20210113,,DEMOCRAT,2.0
1976,KANSAS,KS,20,47,32,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,13185,957845,20210113,,OTHER,3.0
1976,KANSAS,KS,20,47,32,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,4724,957845,20210113,,OTHER,4.0
1976,KANSAS,KS,20,47,32,US PRESIDENT,"MACBRIDE, ROGER",INDEPENDENT,False,3242,957845,20210113,,OTHER,5.0
1976,KANSAS,KS,20,47,32,US PRESIDENT,"MADDOX, LESTER",CONSERVATIVE,False,2118,957845,20210113,,OTHER,6.0
1976,KANSAS,KS,20,47,32,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,1403,957845,20210113,,OTHER,7.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,615717,1167142,20210113,,DEMOCRAT,1.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,531852,1167142,20210113,,REPUBLICAN,2.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,8308,1167142,20210113,,OTHER,3.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,6837,1167142,20210113,,OTHER,4.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,2328,1167142,20210113,,OTHER,5.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,814,1167142,20210113,,LIBERTARIAN,6.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,510,1167142,20210113,,OTHER,7.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,426,1167142,20210113,,OTHER,8.0
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,350,1167142,20210113,,OTHER,9.0
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,661365,1277383,20210113,,DEMOCRAT,1.0
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,587446,1277383,20210113,,REPUBLICAN,2.0
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,10058,1277383,20210113,,OTHER,3.0
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,False,7417,1277383,20210113,,OTHER,4.0
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,6490,1277383,20210113,,OTHER,5.0
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,3134,1277383,20210113,,LIBERTARIAN,6.0
1976,LOUISIANA,LA,22,72,45,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,1473,1277383,20210113,,OTHER,7.0
1976,MAINE,ME,23,11,2,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,236320,482968,20210113,,REPUBLICAN,1.0
1976,MAINE,ME,23,11,2,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,232279,482968,20210113,,DEMOCRAT,2.0
1976,MAINE,ME,23,11,2,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,10874,482968,20210113,,OTHER,3.0
1976,MAINE,ME,23,11,2,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,3495,482968,20210113,,OTHER,4.0
1976,MARYLAND,MD,24,52,52,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,759612,1432273,20210113,,DEMOCRAT,1.0
1976,MARYLAND,MD,24,52,52,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,672661,1432273,20210113,,REPUBLICAN,2.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1429475,2547558,20210113,,DEMOCRAT,1.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1030276,2547558,20210113,,REPUBLICAN,2.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,65637,2547558,20210113,,OTHER,3.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,False,8138,2547558,20210113,,OTHER,4.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,False,7555,2547558,20210113,,OTHER,5.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,4922,2547558,20210113,,OTHER,6.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,SCATTERING,,False,1401,2547558,20210113,,OTHER,7.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,False,135,2547558,20210113,,LIBERTARIAN,8.0
1976,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,19,2547558,20210113,,OTHER,9.0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1893742,3651590,20210113,,REPUBLICAN,1.0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1696714,3651590,20210113,,DEMOCRAT,2.0
