year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,previous_winner_party,change
2008,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1904097,3102995,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1921290,3184196,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1995196,3378821,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2382202,3658005,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,MICHIGAN,MI,26,34,23,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1893742,3651590,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,MICHIGAN,MI,26,34,23,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1915225,3909725,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,MICHIGAN,MI,26,34,23,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2251571,3801658,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,MICHIGAN,MI,26,34,23,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1965486,3669163,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,MICHIGAN,MI,26,34,23,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1871182,4274673,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,MICHIGAN,MI,26,34,23,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1989653,3848844,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,"GORE, AL",DEMOCRAT,False,2170418,4232501,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,2479183,4839252,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,MICHIGAN,MI,26,34,23,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2872579,5001596,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,MICHIGAN,MI,26,34,23,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2564569,4730961,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2279543,4799284,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2020,MICHIGAN,MI,26,34,23,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2804040,5539302,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1976,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1070440,1949931,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,954173,2051916,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1984,MINNESOTA,MN,27,41,33,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,1036364,2084449,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1988,MINNESOTA,MN,27,41,33,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,1109471,2096790,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1992,MINNESOTA,MN,27,41,33,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1020997,2347948,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,MINNESOTA,MN,27,41,33,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1120380,2192492,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,MINNESOTA,MN,27,41,33,US PRESIDENT,"GORE, AL",DEMOCRATIC-FARMER-LABOR,False,1168266,2438685,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,MINNESOTA,MN,27,41,33,US PRESIDENT,"KERRY, JOHN",DEMOCRATIC-FARMER-LABOR,False,1445014,2828387,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,MINNESOTA,MN,27,41,33,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1573354,2910369,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,MINNESOTA,MN,27,41,33,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRATIC-FARMER-LABOR,False,1546167,2936561,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1367705,2944782,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,MINNESOTA,MN,27,41,33,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1717077,3277171,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,381329,768390,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,441089,891750,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,582377,941104,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,557890,931527,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,487793,981793,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,439838,893857,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,572844,994184,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,672660,1139824,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,724597,1289865,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,710746,1285584,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,700714,1209357,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,756764,1313759,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,MISSOURI,MO,29,43,34,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,998387,1953600,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,MISSOURI,MO,29,43,34,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1074181,2099824,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,MISSOURI,MO,29,43,34,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1274188,2122771,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,MISSOURI,MO,29,43,34,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1084953,2093228,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,MISSOURI,MO,29,43,34,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1053873,2391270,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,MISSOURI,MO,29,43,34,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1025935,2158065,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,MISSOURI,MO,29,43,34,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1189924,2359892,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,MISSOURI,MO,29,43,34,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1455713,2731364,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,MISSOURI,MO,29,43,34,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,1445814,2925205,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,MISSOURI,MO,29,43,34,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,1482440,2757323,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,MISSOURI,MO,29,43,34,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1594511,2808605,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,MISSOURI,MO,29,43,34,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1718736,3025962,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,MONTANA,MT,30,81,64,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,173703,328734,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,MONTANA,MT,30,81,64,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,206814,363952,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,MONTANA,MT,30,81,64,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,232450,384377,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,MONTANA,MT,30,81,64,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,190412,365674,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,MONTANA,MT,30,81,64,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,154507,410583,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,MONTANA,MT,30,81,64,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,179652,407083,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2000,MONTANA,MT,30,81,64,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,240178,410986,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,MONTANA,MT,30,81,64,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,266063,450434,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,MONTANA,MT,30,81,64,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,242763,490109,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,MONTANA,MT,30,81,64,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,267928,484048,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,MONTANA,MT,30,81,64,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,279240,494526,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,MONTANA,MT,30,81,64,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,343602,603674,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,NEBRASKA,NE,31,46,35,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,359219,606749,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,NEBRASKA,NE,31,46,35,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,419214,639533,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,NEBRASKA,NE,31,46,35,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,460054,652090,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,NEBRASKA,NE,31,46,35,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,397956,661465,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,NEBRASKA,NE,31,46,35,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,343678,737546,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,NEBRASKA,NE,31,46,35,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,363467,677415,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,NEBRASKA,NE,31,46,35,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,433862,697019,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,NEBRASKA,NE,31,46,35,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,512814,778186,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,NEBRASKA,NE,31,46,35,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,452979,801281,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,NEBRASKA,NE,31,46,35,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,475064,794379,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,NEBRASKA,NE,31,46,35,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,495961,844227,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,NEBRASKA,NE,31,46,35,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,556846,956383,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,NEVADA,NV,32,88,65,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,101273,201876,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,NEVADA,NV,32,88,65,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,155017,243692,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,NEVADA,NV,32,88,65,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,188770,282717,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,NEVADA,NV,32,88,65,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,206040,343133,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,NEVADA,NV,32,88,65,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,189148,506318,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,NEVADA,NV,32,88,65,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,203974,464279,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,NEVADA,NV,32,88,65,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,301575,609426,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,NEVADA,NV,32,88,65,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,418690,829587,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,NEVADA,NV,32,88,65,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,533736,967848,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
2012,NEVADA,NV,32,88,65,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,531373,1014918,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,NEVADA,NV,32,88,65,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,539260,1125385,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,NEVADA,NV,32,88,65,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,703486,1405376,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,185935,339627,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,221705,383990,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,267050,388904,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,281537,450525,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,209040,537215,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,246166,496597,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,273559,569081,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,340511,678287,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
2008,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,384826,710970,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,369561,710972,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,348526,744296,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,424921,806182,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,1509688,3014472,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1546557,2975684,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1933630,3217862,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1743192,3099553,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1436206,3343594,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1652361,3075860,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"GORE, AL",DEMOCRAT,False,1788850,3187226,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,1911430,3611691,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2215422,3868237,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2122786,3638499,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,2148278,3874046,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2608335,4549353,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,211419,416590,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,NEW MEXICO,NM,35,85,66,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,250779,456237,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,NEW MEXICO,NM,35,85,66,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,307101,514370,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,NEW MEXICO,NM,35,85,66,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,270341,521387,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,261617,569986,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,273495,556074,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,NEW MEXICO,NM,35,85,66,US PRESIDENT,"GORE, AL",DEMOCRAT,False,286783,598605,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,NEW MEXICO,NM,35,85,66,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,376930,756304,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2008,NEW MEXICO,NM,35,85,66,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,472422,830158,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
2012,NEW MEXICO,NM,35,85,66,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,415335,783758,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,385234,798319,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,NEW MEXICO,NM,35,85,66,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,501614,923965,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,3244165,6668262,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2728372,6201959,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1984,NEW YORK,NY,36,21,13,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,3376519,6806810,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1988,NEW YORK,NY,36,21,13,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,3255487,6485683,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,NEW YORK,NY,36,21,13,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,3346894,7079432,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,NEW YORK,NY,36,21,13,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,3649630,6439129,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"GORE, AL",DEMOCRAT,False,3942215,6960215,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,4180755,7448266,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,NEW YORK,NY,36,21,13,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,4645332,7722019,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,4324228,7116784,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,NEW YORK,NY,36,21,13,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,4379789,7802084,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,NEW YORK,NY,36,21,13,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,5230985,8661735,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,927365,1677906,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,915018,1855833,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1346481,2175361,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1237258,2134370,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1134661,2611850,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,1225938,2515807,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1631163,2914990,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1961166,3501007,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,2142651,4310851,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
2012,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,2270395,4505372,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2016,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2362631,4741564,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2758773,5524802,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,153684,297308,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,193695,301116,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,200336,308971,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,166559,297261,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,136244,308133,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,125050,266411,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
