level_0,index,year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,second_candidate_votes,margin,relative_margin
62,197,1976,NEW MEXICO,NM,35,85,66,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,211419,416590,20210113,,REPUBLICAN,1.0,201148.0,10271.0,0.02465493650831753
64,203,1976,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,3244165,6668262,20210113,,DEMOCRAT,1.0,2825913.0,418252.0,0.06272279043624861
66,212,1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,927365,1677906,20210113,,DEMOCRAT,1.0,741960.0,185405.0,0.11049784672085325
68,217,1976,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,153684,297308,20210113,,REPUBLICAN,1.0,136078.0,17606.0,0.05921804996838296
70,228,1976,OHIO,OH,39,31,24,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2009959,4110456,20210113,,DEMOCRAT,1.0,2000626.0,9333.0,0.002270551004560078
72,238,1976,OKLAHOMA,OK,40,73,53,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,545708,1092251,20210113,,REPUBLICAN,1.0,532442.0,13266.0,0.012145559949132571
74,241,1976,OREGON,OR,41,92,72,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,492120,1029876,20210113,,REPUBLICAN,1.0,490407.0,1713.0,0.0016633070389056547
76,246,1976,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2328677,4620787,20210113,,DEMOCRAT,1.0,2205604.0,123073.0,0.026634640376195656
78,254,1976,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,227636,410584,20210113,,DEMOCRAT,1.0,181249.0,46387.0,0.11297809948755919
80,260,1976,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,450807,802583,20210113,,DEMOCRAT,1.0,346149.0,104658.0,0.13040146626579432
82,265,1976,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,151505,300678,20210113,,REPUBLICAN,1.0,147068.0,4437.0,0.014756649971065391
84,270,1976,TENNESSEE,TN,47,62,54,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,825879,1476346,20210113,,DEMOCRAT,1.0,633969.0,191910.0,0.1299898533270656
86,281,1976,TEXAS,TX,48,74,49,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2082319,4071884,20210113,,DEMOCRAT,1.0,1953300.0,129019.0,0.03168533288276385
88,287,1976,UTAH,UT,49,87,67,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,337908,541218,20210113,,REPUBLICAN,1.0,182110.0,155798.0,0.2878655181461075
90,295,1976,VERMONT,VT,50,13,6,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,100387,183902,20210113,,REPUBLICAN,1.0,77798.0,22589.0,0.12283172559297886
92,301,1976,VIRGINIA,VA,51,54,40,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,836554,1697094,20210113,,REPUBLICAN,1.0,813896.0,22658.0,0.013351057749305577
94,307,1976,WASHINGTON,WA,53,91,73,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,777732,1555534,20210113,,REPUBLICAN,1.0,717323.0,60409.0,0.03883489528354893
96,318,1976,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,435864,750590,20210113,,DEMOCRAT,1.0,314726.0,121138.0,0.16139037290664676
98,320,1976,WISCONSIN,WI,55,35,25,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1040232,2101336,20210113,,DEMOCRAT,1.0,1004987.0,35245.0,0.016772662725047304
100,329,1976,WYOMING,WY,56,83,68,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,92717,156343,20210113,,REPUBLICAN,1.0,62239.0,30478.0,0.19494316982531998
102,332,1980,ALABAMA,AL,1,63,41,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,654192,1341929,20210113,,REPUBLICAN,1.0,636730.0,17462.0,0.013012610950355793
104,342,1980,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,86112,158445,20210113,,REPUBLICAN,1.0,41842.0,44270.0,0.2794029473949951
106,347,1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,529688,873945,20210113,,REPUBLICAN,1.0,246843.0,282845.0,0.3236416479297896
108,355,1980,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,403164,837582,20210113,,REPUBLICAN,1.0,398041.0,5123.0,0.006116416064337582
110,362,1980,CALIFORNIA,CA,6,93,71,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,4522994,8582938,20210113,,REPUBLICAN,1.0,3082943.0,1440051.0,0.16778065972281286
112,369,1980,COLORADO,CO,8,84,62,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,652264,1184450,20210113,,REPUBLICAN,1.0,368009.0,284255.0,0.239989024441724
114,377,1980,CONNECTICUT,CT,9,16,1,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,677210,1406285,20210113,,REPUBLICAN,1.0,541732.0,135478.0,0.09633751337744483
116,383,1980,DELAWARE,DE,10,51,11,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,111252,235668,20210113,,REPUBLICAN,1.0,105754.0,5498.0,0.023329429536466554
118,388,1980,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,130231,173889,20210113,,DEMOCRAT,1.0,23313.0,106918.0,0.6148635048795495
120,397,1980,FLORIDA,FL,12,59,43,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2046951,3686927,20210113,,REPUBLICAN,1.0,1419475.0,627476.0,0.1701894287573364
122,402,1980,GEORGIA,GA,13,58,44,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,890955,1596805,20210113,,DEMOCRAT,1.0,654168.0,236787.0,0.1482879875751892
124,406,1980,HAWAII,HI,15,95,82,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,135879,303287,20210113,,DEMOCRAT,1.0,130112.0,5767.0,0.01901499239993801
126,412,1980,IDAHO,ID,16,82,63,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,290699,437431,20210113,,REPUBLICAN,1.0,110192.0,180507.0,0.4126525097672547
128,417,1980,ILLINOIS,IL,17,33,21,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2358049,4749721,20210113,,REPUBLICAN,1.0,1981413.0,376636.0,0.07929644709657684
